time,x,y,z
1542519411.3284,0.0,0.0,0.0
1542519411.335566,3.392583752441406,-9.445125549316407,-0.15322890625
1542519411.340968,3.4261025756835934,-9.612719665527344,-0.201112939453125
1542519411.346374,3.2417490478515623,-9.516951599121093,-0.16759411621093748
1542519411.351775,3.303998291015625,-9.421183532714844,-0.06943184814453125
1542519411.357173,3.227383837890625,-9.49300958251953,-0.2609679809570312
1542519411.362566,3.2704794677734372,-9.425971936035156,-0.27293898925781246
1542519411.367959,3.2920272827148436,-9.421183532714844,-0.22266075439453123
1542519411.373347,3.3303345092773435,-9.349357482910156,-0.28969840087890625
1542519411.378744,3.318363500976562,-9.414000927734374,-0.16998831787109375
1542519411.38414,3.327940307617187,-9.49300958251953,-0.062249243164062495
1542519411.389639,3.227383837890625,-9.4618849609375,-0.258573779296875
1542519411.395037,3.2321722412109373,-9.452308154296874,-0.12449848632812499
1542519411.400437,3.2824504760742186,-9.356540087890625,-0.23702596435546874
1542519411.405853,3.4644098022460934,-9.433154541015625,-0.21068974609375
1542519411.41125,3.3159692993164063,-9.457096557617186,-0.2154781494140625
1542519411.41665,3.3327287109375,-9.409212524414063,-0.22026655273437498
1542519411.422046,3.6104561035156246,-9.445125549316407,-0.09816226806640624
1542519411.427449,3.3494881225585935,-9.514557397460937,-0.23223756103515625
1542519411.432882,3.299209887695312,-9.437942944335937,-0.296881005859375
1542519411.438277,3.5098996337890624,-9.399635717773437,-0.09576806640624999
1542519411.443673,3.323151904296875,-9.41639512939453,-0.3016694091796875
1542519411.449067,3.299209887695312,-9.476250170898437,-0.1388636962890625
1542519411.454453,3.3686417358398435,-9.440337145996093,-0.28730419921875
1542519411.459844,3.318363500976562,-9.418789331054686,-0.16998831787109375
1542519411.465244,3.3303345092773435,-9.469067565917967,-0.239420166015625
1542519411.47064,3.5098996337890624,-9.478644372558593,-0.229843359375
1542519411.476049,3.347093920898437,-9.481038574218749,-0.12210428466796874
1542519411.481448,3.3686417358398435,-9.457096557617186,-0.22026655273437498
1542519411.486839,3.517082238769531,-9.45470235595703,-0.011971008300781249
1542519411.492233,3.3303345092773435,-9.445125549316407,-0.22744915771484372
1542519411.497634,3.3111808959960936,-9.452308154296874,-0.20829554443359374
1542519411.503032,3.303998291015625,-9.41639512939453,-0.00718260498046875
1542519411.50843,3.31357509765625,-9.457096557617186,-0.1484405029296875
1542519411.513822,3.327940307617187,-9.449913952636718,-0.1484405029296875
1542519411.519213,3.3255461059570313,-9.442731347656249,-0.033518823242187495
1542519411.524612,3.347093920898437,-9.495403784179686,-0.06943184814453125
1542519411.530011,3.21780703125,-9.471461767578125,-0.2609679809570312
1542519411.535407,3.3159692993164063,-9.471461767578125,-0.105344873046875
1542519411.540809,3.299209887695312,-9.41639512939453,-0.22744915771484372
1542519411.546201,3.507505432128906,-9.442731347656249,-0.296881005859375
1542519411.551588,3.3686417358398435,-9.464279162597656,-0.2442085693359375
1542519411.556986,3.3494881225585935,-9.447519750976562,-0.0047884033203125
1542519411.562381,3.3255461059570313,-9.428366137695312,-0.14604630126953125
1542519411.567781,3.3111808959960936,-9.440337145996093,-0.2561795776367187
1542519411.573174,3.347093920898437,-9.497797985839844,-0.0526724365234375
